,cutoff-mid,accuracy,f1score,features
0,0,0.73,0.7269975295834616,2631
0,1,0.7,0.695903775629176,15454
0,2,0.7033333333333334,0.7004205978694544,18651
0,3,0.71,0.7075368814192344,20357
0,4,0.7133333333333334,0.711170288675591,21415
0,5,0.7133333333333334,0.7110057944976951,22119
0,6,0.7133333333333334,0.7105055991952542,23222
0,7,0.72,0.7180385359818439,23161
0,8,0.7133333333333334,0.7112516388734974,23463
0,9,0.72,0.7184238817239036,23809
0,10,0.7233333333333334,0.7218523592085235,24029
0,11,0.7266666666666667,0.7247479444573671,24130
0,12,0.7266666666666667,0.7243184292311537,24352
0,13,0.7266666666666667,0.7244287689053417,24677
0,14,0.73,0.7277879002598104,24642
0,15,0.73,0.7278724098754525,24729
0,16,0.7266666666666667,0.7243562396780218,24795
0,17,0.7266666666666667,0.723985964378911,24862
0,18,0.73,0.7267886080232814,24933
0,19,0.73,0.7273459428634784,24974
0,20,0.7366666666666667,0.7342953621997678,25033
0,21,0.7133333333333334,0.7103004128990462,25089
0,22,0.71,0.706980314661397,25124
0,23,0.71,0.7072006694097596,25166
0,24,0.7133333333333334,0.7101422893581624,25273
0,25,0.7133333333333334,0.7101422893581624,25249
0,26,0.71,0.7067744518550556,25283
0,27,0.7,0.6961893344898963,25361
0,28,0.7,0.6961893344898963,25336
0,29,0.7,0.6961893344898963,25365
0,30,0.7,0.6955219227674979,25429
0,31,0.7,0.6955219227674979,25429
0,32,0.7033333333333334,0.6993831168831169,25452
0,33,0.7,0.6960502319912719,25474
0,34,0.71,0.7064064872913188,25503
0,35,0.71,0.7064064872913188,25523
0,36,0.7066666666666667,0.7030460009344747,25514
0,37,0.7033333333333334,0.6991247204033636,25542
0,38,0.7033333333333334,0.6988729538971723,25565
0,39,0.7,0.6950818500828615,25580
0,40,0.7066666666666667,0.7022134065710508,25598
0,41,0.7066666666666667,0.7022134065710508,25614
0,42,0.7133333333333334,0.7089329671447463,25617
0,43,0.7133333333333334,0.7089222369750142,25637
0,44,0.7133333333333334,0.7089329671447463,25648
0,45,0.72,0.716042328042328,25662
0,46,0.7233333333333334,0.7197014209895565,25671
0,47,0.7166666666666667,0.7126134501355741,25679
0,48,0.7166666666666667,0.7124650941178713,25680
0,49,0.71,0.7054795407619431,25716
